,Pc,Pt,Pg,mox,Mox,Vox,vg,mf,Mf,Df,Gox,r,Dt,Pe,CF,cstr,of,F,I
0.6,3026291.486877918,5000000.0,11140142.99916307,2.8251742530438633,1.6938429218983961,0.013576602586640002,2.3741545342853695e-05,0.9428550062789962,0.5676515745808055,0.10336003745221484,336.7053695641276,0.004318318550665992,0.044,100076.11960517454,1.5058611073000823,1221.091411430312,2.996529896912061,6876.688611986615,4130.379340975068
0.61,3026194.5056865485,5000000.0,11092658.008341633,2.8252436634898155,1.722095011454042,0.01355286133491257,2.374234804038641e-05,0.9427486275565021,0.5770795927463839,0.10341520545408744,336.3544904086567,0.004315527935729808,0.044,100073.64068673394,1.5058567053620908,1221.0642463873846,2.996941663418353,6876.448138822507,4199.144498866548
0.62,3026097.566819705,5000000.0,11045179.808617504,2.8253130418952472,1.7503477950613908,0.01352911949994841,2.3742712123712924e-05,0.9426423122065022,0.5865065473431772,0.10347037621436014,336.00414621524294,0.004312740471542592,0.044,100071.16277424592,1.5058523049080212,1221.0370877657456,2.997353287333766,6876.207769896953,4267.90830409898
0.63,3026000.670181209,5000000.0,10997706.64738748,2.8253823883313007,1.7786012721854416,0.013505377082197107,2.3743514336976065e-05,0.9425360601661952,0.595932439201494,0.10352554973317087,335.6543359065768,0.004309956152996957,0.044,100068.6858670975,1.5058479059375736,1221.0099355246932,2.997764768802298,6875.967504988548,4336.668654611026
0.64,3025903.8156750556,5000000.0,10950240.279328985,2.825451702868981,1.8068554427216887,0.01348163408174648,2.3743877827941867e-05,0.9424298713728717,0.6053572687573243,0.10358072601065753,335.3050584080496,0.00430717497499633,0.044,100066.20996467478,1.5058435084504505,1220.9827896236072,2.9981761079677414,6875.7273438762895,4405.427654544739
0.65,3025807.0032054177,5000000.0,10902778.951922733,2.825520985579158,1.8351103061367886,0.013457890499044715,2.374467955911818e-05,0.9423237457639154,0.6147810368395137,0.10363590504695806,334.9563126477459,0.0043043969324549295,0.044,100063.73506636298,1.50583911244635,1220.9556500219503,2.998587304973682,6875.487286339567,4474.18320183362
0.66,3025710.232676642,5000000.0,10855324.41975525,2.8255902365325656,1.863365862327416,0.013434146334178642,2.3745042460317655e-05,0.9422176832768023,0.6242037438830088,0.10369108684221041,334.6080975564347,0.004301622020297735,0.044,100061.2611715461,1.505834717924967,1220.9285166792693,2.998998359963499,6875.2473321581465,4542.937400616049
0.67,3025613.5039932593,5000000.0,10807874.930393131,2.825659455799796,1.8916221107618783,0.01341040158759506,2.3745843711580378e-05,0.9421116838490984,0.6336253907151957,0.10374627139655253,334.2604120675613,0.004298850233460449,0.044,100058.78827960714,1.5058303248859874,1220.9013895551961,2.9994092730803654,6875.00748111218,4611.688148820384
0.68,3025516.817059977,5000000.0,10760432.238330087,2.8257286434513036,1.9198790513380264,0.01338665625937981,2.374620602559801e-05,0.9420057474184618,0.6430459777699811,0.10380145871012236,333.913255117239,0.004296081566889479,0.044,100056.31638992927,1.5058259333291006,1220.8742686094504,2.999820044467245,6874.767732982238,4680.437550581346
0.6900000000000001,3025420.17178588,5000000.0,10712994.591220547,2.8257977995570185,1.94813668352581,0.01336291034997831,2.3747006799113293e-05,0.9418998739225618,0.6524655058732955,0.10385664878305786,333.56662564419634,0.004293316015541545,0.044,100053.84550184058,1.5058215432538564,1220.847153803531,3.0002306742668976,6874.528087558205,4749.183503822208
