,Pc,Pt,mox,Mox,Vox,mf,Mf,Df,Gox,r,Dt,Pe,CF,cstr,of,F,I
0.26,2961985.2364045405,4918627.91735076,3.564535177281852,0.8002610330867748,0.026060726486987356,0.5103912089660588,0.11454285989802326,0.10152521652638277,440.31671770041464,0.003252477385432904,0.0445,99723.57429565139,1.4897890138701007,1130.5066720339294,6.983926558426891,6810.923654940725,1500.1398158369589
0.27,2960686.5663924897,4915498.2218642505,3.5628669411099363,0.8418979884093281,0.026011856821115814,0.5102717610325115,0.1204807716774397,0.10160086724212977,439.45548771737197,0.003249295014677778,0.0445,99675.65342415961,1.4897039130829721,1130.5069634068734,6.982292095240348,6807.548546169681,1581.0304802178669
0.28,2959387.4273527297,4912368.526377741,3.561198351186969,0.8715183707298034,0.0259770911141669,0.5101522597932756,0.12474829494098788,0.10165520195400962,438.7802459877349,0.0032467977161898046,0.0445,99627.70136262316,1.4896186809114138,1130.5071888504995,6.980656902785675,6804.172100051994,1636.2907823025305
0.29,2958087.8209262714,4909238.830891232,3.559529405518276,0.913121954245586,0.025928260617082647,0.5100327050679774,0.13068381669486803,0.1017307256084568,437.92366963995596,0.0032436270073946455,0.0445,99579.71827305788,1.4895333174383851,1130.5073495095871,6.979020978594026,6800.794321714661,1717.1139177824468
0.3,2956787.7489979276,4906109.135404723,3.5578601018825697,0.9427089576469454,0.025893534087268844,0.5099130966598178,0.13494894886340453,0.1017849606027423,437.2519552037281,0.003241138414781073,0.0445,99531.70433595919,1.489447822780785,1130.5074466917602,6.9773843199714305,6797.415216999087,1772.3066643155626
0.31,2955487.2136938428,4902979.4399182135,3.55619043783363,0.9842791550798214,0.02584474277572791,0.5097934343556744,0.1408820784482335,0.10186035766065415,436.3999929942819,0.003237979282158492,0.0445,99483.65974890914,1.4893621970869606,1130.507481866429,6.975746924000121,6794.034792443529,1853.0622177284106
0.32,2954186.2173783886,4899849.744431704,3.554520410702632,1.0138327651933445,0.025810055439913916,0.5096737179262472,0.1451448173701004,0.10191449328426365,435.731775687694,0.0032354993294539326,0.0445,99435.5847252351,1.4892764405343268,1130.5074566632577,6.97410878754058,6790.653055264647,1908.1873557890221
0.33,2952884.7626502835,4896720.048945195,3.5528500176011386,1.0553695620715655,0.02576130333090192,0.5095539471262559,0.15107555262531885,0.10198976420697269,434.8843883336827,0.003232351687195675,0.0445,99387.47949271378,1.4891905533270517,1130.5073728701577,6.972469907234179,6787.270013337559,1988.8752744911053
0.34,2951582.8523380524,4893590.353458686,3.551179255424762,1.0848897643151179,0.025726655206202913,0.5094341216946822,0.15533589613052026,0.10204380080418173,434.21963810549795,0.0032298803082288653,0.0445,99339.34429232898,1.48910453569384,1130.5072324307966,6.970830279506558,6783.88567517489,2043.9327517349882
0.35000000000000003,2950280.4894946814,4890460.657972177,3.549508120857503,1.1263931459359948,0.02567794231697653,0.5093142413550623,0.16126423487595531,0.10211894604958784,433.37678654110755,0.0032267440705221894,0.0445,99291.17937707386,1.4890183878858052,1130.5070374416246,6.969189900571564,6780.500049904386,2124.55298371185
0.36,2948977.677391618,4887330.962485667,3.5478366103767645,1.155879925479223,0.025643333420799032,0.5091943058158295,0.16552218077362277,0.10217288396202125,432.7154734581882,0.0032242811989392256,0.0445,99242.9850108068,1.4889321101744215,1130.5067901484085,6.967548766435965,6777.113147245429,2179.542748475114
0.37,2947674.419512018,4884201.266999158,3.5461647202590454,1.1973498768749704,0.025594659768926088,0.5090743147707031,0.17144812080699698,0.10224790398459209,431.8771188402917,0.0032211562799929483,0.0445,99194.76146715772,1.4888457028495834,1130.5064929422745,6.9659068729047995,6773.724977484318,2260.095242441657
